# smooth_k: 3.0
# smooth_alpha: 0.692
weight/radius,0.100,0.300,0.500,0.700,0.900,1.100,1.300,1.500,1.700,1.900
0%,93.217883,85.123258,61.526277,49.690911,52.129417,50.434612,62.405225,80.007193,87.150134,88.554832
11%,75.282501,67.212053,51.168962,46.398574,41.442705,39.773768,43.865795,53.309664,57.933670,61.025242
22%,55.522325,36.457297,49.395088,49.500583,54.766650,30.721661,34.258180,40.217530,42.262047,44.743564
33%,15.561560,24.012044,31.753968,48.092432,44.383147,33.913813,29.677519,33.417713,36.531966,38.412398
44%,2.286778,7.729985,21.395357,29.963614,34.460629,27.452087,25.795546,29.918916,29.917831,32.406075
56%,1.002091,5.106442,13.626446,23.516174,32.899749,20.575504,23.026269,26.187557,27.202456,29.670946
67%,1.000000,3.359077,10.597555,16.374996,18.742748,15.863351,18.210984,23.235424,25.541048,27.303811
78%,1.000000,2.170009,3.261542,6.562504,9.030730,8.059854,11.463984,16.777052,18.446251,20.330423
89%,1.000000,1.000000,1.177798,2.057419,2.362461,3.121564,4.003977,6.170211,8.081397,7.856782
100%,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.321492,2.207776,2.748743,3.243162
